,domain,ip
0,twitter.com,104.244.42.193
0,twitter.com,104.244.42.129
0,twitter.com,104.244.42.1
0,twitter.com,104.244.42.65
0,mobile.twitter.com,104.244.42.70
0,mobile.twitter.com,104.244.42.6
0,mobile.twitter.com,104.244.42.134
0,mobile.twitter.com,104.244.42.198
0,api.twitter.com,104.244.42.194
0,api.twitter.com,104.244.42.2
0,api.twitter.com,104.244.42.66
0,api.twitter.com,104.244.42.130
0,api-24-0-0.twitter.com,69.195.179.128
0,api-30-0-0.twitter.com,69.195.180.128
0,api-1-0-0.twitter.com,209.237.193.128
0,api-28-0-0.twitter.com,69.195.160.128
